Sample,PEDF,CXL11,IL13,ZG16,IL4,GROA,IFNG,CYTC,IL17F,IL12A,TFF3,IL6,ICAM1,IL10,FST,S100A6,CXCL10,PROK1,CCL5,IL20,TNFSF12,MMP9,VEGFA
D-T1-S1,708,543,353,66413,366,935,255.5,104992,1136,799,620,575,978,679,400,22437,599,372,390,354.5,421,807.5,675
D-T1-S1,753,375.5,428,75256.5,326,774.5,301,118298,1189.5,782,569,708,1125,702,509,27580,600,516,278.5,422.5,285,836,532.5
D-T1-US,685,521.5,513,71440,333.5,735,336.5,115000,1799,917,699,770,1168,647,696,47365,591,698,455.5,453,435,783,559
D-T13-S1,420.5,408,293.5,43214,268,440,246.5,80618,679.5,684,449,478.5,520,435,440,8434,352,384,247.5,315,146.5,592,505
D-T13-S1,513,357,378.5,53568,222,478,193.5,96575,1287,807,476,537,819,472,564,35282,404.5,457,223,336,230.5,701,497
D-T13-US,495,408,630.5,63726.5,366,505,325,98558,789,752,380,454,647,554,432,12348,753,490,376,471,357,556.5,688
D-UT-S1,9251,496,588,95713,399,882,385.5,140049,1669,1157,686,826.5,1828,683,868,49230,888,749,394,494,370,1175,925
H-UT-S1,15274,455,487.5,81701.5,297,783,278.5,132710,1083,875,553,614,955.5,472,602,19347,550.5,573.5,368.5,415,435.5,1293,634
D-T1-S2,859,328,539.5,80802,302.5,1429,246,117260,1374,612,527,515,1131,580,571,29309,744,531,482.5,375,478,699,513
D-T1-S2,808,439.5,422,63092,310,1832.5,250,113478,1529,795,713,558,1470.5,670,570.5,44114,803.5,580,303.5,424.5,406,850,693
D-T1-US,604,421.5,354.5,48357,239.5,567,244.5,99919,1032,791,599.5,583,810,480,611,24028.5,510.5,620,274,243,316,568,458
D-T13-S2,518,452,289.5,50570.5,300.5,1526.5,224,96817.5,695.5,754,432,410,726,524,545,12294,640.5,443,285.5,318,252.5,744,438
D-T13-S2,695,339,445.5,69560.5,208,1407,317,104957.5,937,699,537,500,941,529.5,450,24813,563,423.5,342.5,409.5,330,707,463
D-T13-US,631,458,578.5,68130.5,275,590.5,386,110480,913,883,542,666,967,569,503,15880,783,612,294,347.5,276.5,704,506.5
D-UT-S1,3088,435,464,93312,433.5,872,458,143430.5,1944,1257.5,769,1010.5,2257,638,785,58069,717,628,406,432.5,547,1070,734
H-UT-S1,12308,381,376.5,66298,252,433,258.5,116753,1026,803,615,516,834,570.5,817.5,20593,495,510.5,400,354,485,1046,540
D-T1-S3,630,441,414.5,75037,244.5,769,224,122748,1162,797,488,813.5,1508,647,481,24029,537,514,246,360.5,364.5,763.5,795
D-T1-S3,576.5,364,468.5,35812,233,527,117,105938,781.5,567,375.5,467,805,445,462,15052,534.5,405,156,248.5,264.5,688,582
D-T1-US,563.5,426.5,552,47319,291.5,511.5,295,116199,1204,757,555,504,1117,499,526,31500,554,473.5,369.5,347,291,835,588.5
D-T13-S3,476,252,275,24628,289,1019,263,84169,612.5,492,370.5,1095,1027,417,423,11655,324,439,251,255,275.5,551,524.5
D-T13-S3,350,282,427.5,26542,248.5,328,222,75522,819,429,272,564,658,381.5,393,20500,374,285.5,174,262,300.5,421,454
D-T13-US,675,408,508,65041,281,727,257.5,108336,984.5,856,547.5,502,843.5,545,566,17860,583,499,308,169,344,645,549
D-UT-S2,1623,524,672.5,97005.5,342,3317,386.5,147135,1964,1375,614,804,1528,797,982.5,49206.5,737,626,436,477,435,1192,889.5
H-UT-S2,15462,379,419.5,57707.5,318.5,2002.5,349,126207.5,1132,798.5,513,600,956,665,715,20408,405.5,564,396,393,434,1512,666
D-T2-S1,900,465,532,79926,394,814,349,133356,1048.5,1109,463,600.5,1724.5,676,618,19289.5,694,562.5,355,460,330,892,704
D-T2-S1,785,489,488,72870,318,700,256.5,122771.5,1212,1161,552,660,1466,604.5,546,34014,717.5,524,379.5,520,473,905,786
D-T2-US,673,383,517,61962,316,671,281,112982.5,1076,721,606.5,610,1314,473,548,30370,571.5,510,288,341.5,485,727.5,531.5
D-T23-S1,486,296,339,27937,164,447.5,223,91387,624.5,527,313,444,884,416,331,15991.5,504,449.5,223.5,259,198,568.5,372
D-T23-S1,557,272,263,12983,259,813,153.5,86509.5,845.5,572,367,655,1071,358,388,31857.5,514,395.5,164,315,349,426,287
D-T23-US,596.5,317,281,13100,214.5,377,219,83293,600,504,410.5,427,570.5,304,444,14321,266,301.5,340,180,150,445,442
D-UT-S2,677,352.5,380,34129,234,950,220,92678.5,795,506,400,525,696.5,396,422,11805,330.5,348.5,226.5,285,225,509.5,467
H-UT-S2,11469.5,328,608,58906.5,273,1585,281,108359,935,687.5,457,533,712,537.5,405.5,14752,356,540.5,262,264.5,403.5,937,408
D-T2-S2,769.5,431.5,489.5,69341.5,337,1619,320,126564.5,1053,899,446.5,637.5,1932,508,540,20293,708,443,354,335,317.5,728,619
D-T2-S2,709.5,282,498.5,70056,276,1472,272,110135,1014,828,434,524,1091.5,495.5,462,23452,519.5,434,293.5,313.5,293,664,479
D-T2-US,421,317,246,28894,139.5,457,244,100403,783.5,732.5,355,439.5,768,415,375,24259,259,372,275,336,296,598,299
D-T23-S2,898,402,442,24409,248.5,1750,249,115669,987.5,711,487,410.5,1128.5,573,499,28179,524,510.5,380,360,261,808,526
D-T23-S2,573.5,264,312,43745,260.5,926,163,87513,726,502,246.5,396,616.5,401,340,13761,357,319,262,290,240,494,483.5
D-T23-US,476,383,453.5,47204,189.5,315,228,90326,510,648,386,449,502,437.5,468,7569,438.5,314,198.5,276.5,249,581,523
D-UT-S3,959,336,595,52646,263,577.5,180,103263,832,657,395.5,549,1142,474.5,454.5,18194,526,471.5,292,314,255,571,573
H-UT-S3,16525,373.5,368,66009.5,343,1151,213,131281,1205,832,489,4370,2075,560.5,563,31777,471,617.5,373,339.5,487,1344,842
D-T2-S3,632,429.5,450,79488,257.5,612,206,123486,988,793.5,596,551.5,1021,535,518,21976,515,519,340,393.5,286.5,729,743
D-T2-S3,638.5,280,349,52634.5,242,823.5,164,111541,771,773,433,475,967,411,482,16697,533.5,369,305,287,237,584,522
D-T2-US,542.5,264,212,6971,299,330,235,97475,1085.5,660,424,530.5,653.5,444,346,42292,233,397,295,290.5,303,491,245.5
D-T23-S3,462,288,416,37888,310,401.5,213,86498,703.5,671.5,551,500,786.5,563,282.5,12043.5,387,384,222,384,299.5,545.5,525
D-T23-S3,823.5,262,399,30081.5,307,428.5,158,100634,1003.5,481,459,434,1016,409,357,30923.5,332.5,350,279,455,281,512.5,643.5
D-T23-US,455,276,306.5,42430.5,181,355.5,210,84492,633.5,560,302,361,517.5,392,436,16505,257,257.5,264,299,257,470,280.5
D-UT-S3,1159,290.5,307.5,29171,381,748,166.5,103424,761,726,408.5,945,1880.5,360,455,18333,381,410,200,253,258.5,754,735
H-UT-S3,13261.5,461.5,594.5,76467,312,608,233,130889,1077.5,978,636,415,968,586.5,509,14955,475,419.5,384.5,368,339,1096.5,638.5
D-T3-S1,557,313,296,66101.5,152,582,140,112856,815,697.5,382,638,1301.5,526.5,428,15896,520,422,208,188,205,594,492
D-T3-S1,335,299,345.5,46293,258,393,196,97797,787,608,346,397,621,422,384,21769,374,413,203,313,233,548,344.5
D-T3-US,474,281,434,54998,206,407,147,109789,791.5,524,354.5,498,645.5,391,452,15891,472,444,386,205,245,595,408
D-T123-S1,591,434,389.5,63772.5,227,458,150.5,106099,873,623.5,374.5,540,840,481,480.5,18113.5,377,439,271.5,335,307.5,575.5,368
D-T123-S1,514,275.5,181.5,20062,216,743,240,86821,936,455,322,467,859,391,360,28733,301,290.5,248,239,182.5,400,364
D-T123-US,557,367,383,35639.5,209,512,189,104185,815.5,609.5,396,420,822,455,518,19670,424,404,323,359,280,582,494
D-UT-US,994,538,468,58307.5,260.5,534,249.5,121434,1160,801,523,861.5,1797,507,469,32180.5,538,529,282,380.5,296.5,651,605
H-UT-US,14551,411,349.5,61627.5,269,641,269.5,129782,1175,738.5,496.5,565,1085,478,404,32215,434,513,251,358.5,487.5,883,553
D-T3-S2,682,449,262,59172,331,1563,281,118747.5,949.5,734.5,538,732.5,1618,608,423,20546,547,453.5,316,300,239.5,587,578
D-T3-S2,589.5,358,491.5,55413,277.5,1943,268.5,120235,1326.5,766,572,654,1424.5,533.5,524,47100,542,538.5,313,353,335,768,648.5
D-T3-US,618,280,298.5,35305,212,581,176.5,97048,1020,505.5,365,492.5,783,421,277,31823,322.5,398,201,292,249,532,474
D-T123-S2,671,302,400,43825.5,253,1179,215,107967,881,830,365,379,925,489.5,742,20938,364.5,399,300,358,316,477,443
D-T123-S2,526,289,333,50882,216,1247,196.5,93946.5,1150,694,474,511.5,754,423,424,35259,450,445,294,346,324.5,656.5,470
D-T123-US,568,284,218.5,62850,177,504,231,109742.5,764.5,678.5,396,513,752,454.5,419.5,16597,505,449,232.5,254,229,652,386
D-UT-US,1138,426,302,45935.5,266.5,331.5,187,105764.5,803,671,384,513,1021,489,538.5,20777,304,458,279,319,205.5,683.5,453.5
H-UT-US,16040,397.5,488.5,78819,265,540.5,208,125631,1081,769,475,637,775,605,552,20224,489,500.5,304,299,441,1002,580
D-T3-S3,766,453,492,83788.5,267,771,228,126876,1209.5,886,456,712,1870,577,582,24766,686,529,419,365,337,729,1021
D-T3-S3,735,356,522,50951.5,265,553,243,121665,990,789,473,892,1699.5,451,533,26276.5,430,518,274,369,328,700.5,898
D-T3-US,558.5,367,341,40009,262,537,257,119312,1297,723,442,632,1329,516,483,41277,428.5,468,265,271,248,639,489
D-T123-S3,619.5,339,454.5,32030,217,440,207,94938,750,574.5,411.5,552,867,605,556,20754,620,495.5,310.5,426,274,555,589
D-T123-S3,631,264,428.5,31777,261,373,263.5,83892,900.5,632,447,595,798,498,425,34313,447.5,408.5,308,337.5,312,458,388.5
D-T123-US,527,362,492.5,41635,184.5,465,237,111495,837,651,452,473.5,756,405.5,510,22622,440,429.5,270,338,303.5,569.5,443
D-UT-US,985,341,424,54963.5,187.5,465.5,211,123602,942,898,414,560,1118,514,617,28825,402,528,352,369.5,315.5,730.5,624
H-UT-US,10093,339,430,72870,278.5,546.5,172,116672,760,727,419,445,597,527.5,461,11876.5,311,375,275,281,305,811,435.5
D-T12-S1,675,335,361,63000,230,574,133.5,112037,890,792,440.5,418,753.5,483.5,429,18955,481,453,220.5,292,228,585,401.5
D-T12-S1,648.5,402,383.5,69595,199,699,220,118217,1193,887,457,531,1035,564.5,522,29666.5,527,500.5,269.5,389,311,801,455
D-T12-US,639,336,477,61293.5,229,561,166,119197,1002,581.5,378,474,865,486,432,25620,482.5,397,253,399,299,710,461.5
D-UT-US,1081,363,394.5,72293,267,460,226,120373,949.5,744.5,432,572.5,1114.5,544,481.5,21423,328,446,291,293,334,662,571.5
H-UT-US,12092.5,402,472,59322,218.5,490,166,109650,1064.5,700,392,774,956.5,472,636,27556.5,363,509,222.5,353.5,366,1586,487
D-T12-S2,630,361,367.5,76847.5,207,1556.5,261,130692.5,978.5,742.5,457,367,1194,555.5,473,22253,618,430,377.5,276.5,276.5,724,490.5
D-T12-S2,584,293.5,399,63057.5,322.5,1316,259,117202.5,1094.5,754,522.5,473,1027,525.5,442,38602.5,534,475.5,344,355.5,342.5,635,457
D-T12-US,657,288,305.5,62539,304,432,170,116453,780.5,711.5,362,319,719,449,345,16186,475.5,385,231,289.5,211,527,372.5
D-T12-S3,611,335,279.5,69479.5,226,573.5,294.5,117444.5,874,865,414,384.5,777,412,462.5,19071,496,492,245.5,296,251,659,618
D-T12-S3,829,370,441.5,80572,237,769,221,134463,1427.5,900.5,597,674,1769,522.5,515,39190.5,549.5,468,314.5,407,386,761,664
D-T12-US,804,351.5,277,27096,217,1174,189,121192,1284,710,427,900,1758.5,481,347,52923,617.5,537.5,292,321,314,643,424.5
BLANK,636,296.5,329,301,240,282.5,194,16545,216,666,279,327,349,358,232,392,189.5,429,168,243,185,628,409
BLANK,449,285.5,372.5,210,194.5,278,132,14468,307.5,850.5,310.5,321,352,448,216,458,211,528,143,270,177.5,805,523.5
BLANK,336,324,198,196.5,166,201,213,11198,269,685,183,291.5,221,437.5,220.5,337,266,310,110.5,246.5,155,501,425
BLANK,327.5,422,435,283.5,195,228,259,11993,261,754,262,284,338,446,431.5,401.5,335,342,229,213.5,180,582.5,568.5
